,Park Code,Year,Park Unit,Recreation Visits,Overnight Stays,All Visitors Spend,Non-Local Visitors Spend,Jobs,Labor Income,Value Added,Output
670,STEA,2011,Steamtown NHS,"111,725",,"$4,140,000.00","$3,850,000.00",59,"$1,529,000.00","$2,759,000.00",
671,STRI,2011,Stones River NB,"187,208",,"$9,911,000.00","$9,215,000.00",143,"$4,716,000.00","$7,784,000.00",
672,SUCR,2011,Sunset Crater Volcano NM,"185,265",,"$9,808,000.00","$9,119,000.00",121,"$2,986,000.00","$5,514,000.00",
673,TAPR,2011,Tallgrass Prairie NPRES,"17,893",,"$901,000.00","$854,000.00",14,"$225,000.00","$433,000.00",
674,THKO,2011,Thaddeus Kosciuszko NMEM,"1,949",,"$134,000.00","$125,000.00",2,"$67,000.00","$111,000.00",
675,THRB,2011,Theodore Roosevelt Birthplace NHS,"6,537",,"$450,000.00","$418,000.00",5,"$216,000.00","$358,000.00",
676,THRI,2011,Theodore Roosevelt Inaugural NHS,"17,107",,"$1,177,000.00","$1,095,000.00",15,"$416,000.00","$840,000.00",
677,THIS,2011,Theodore Roosevelt Island,"137,690",,"$9,476,000.00","$8,811,000.00",95,"$3,743,000.00","$6,225,000.00",
678,THRO,2011,Theodore Roosevelt NP,"563,407","21,518","$28,318,000.00","$26,881,000.00",431,"$8,784,000.00","$15,313,000.00",
679,EDIS,2011,Thomas Edison NHP,"55,284",,"$3,805,000.00","$3,538,000.00",40,"$1,830,000.00","$3,024,000.00",
680,JEFM,2011,Thomas Jefferson MEM,"1,945,696",,"$66,580,000.00","$60,829,000.00",676,"$27,736,000.00","$46,400,000.00",
681,THST,2011,Thomas Stone NHS,"6,351",,"$437,000.00","$406,000.00",4,"$173,000.00","$287,000.00",
682,TICA,2011,Timpanogos Cave NM,"96,965",,"$6,673,000.00","$6,205,000.00",100,"$2,856,000.00","$4,840,000.00",
683,TIMU,2011,Timucuan EHP,"1,028,922",,"$56,265,000.00","$43,836,000.00",617,"$19,121,000.00","$33,487,000.00",
684,TONT,2011,Tonto NM,"53,426",,"$2,828,000.00","$2,630,000.00",40,"$1,279,000.00","$2,227,000.00",
685,TUMA,2011,Tumacacori NHP,"33,740",,"$1,250,000.00","$1,163,000.00",16,"$426,000.00","$783,000.00",
686,TUAI,2011,Tuskegee Airmen NHS,"16,244",,"$860,000.00","$800,000.00",13,"$303,000.00","$523,000.00",
687,TUIN,2011,Tuskegee Institute NHS,"23,288",,"$1,233,000.00","$1,146,000.00",18,"$435,000.00","$749,000.00",
688,TUZI,2011,Tuzigoot NM,"101,104",,"$5,352,000.00","$4,977,000.00",75,"$2,441,000.00","$4,234,000.00",
689,ULSG,2011,Ulysses S. Grant NHS,"35,664",,"$2,454,000.00","$2,282,000.00",31,"$1,209,000.00","$2,086,000.00",
690,UPDE,2011,Upper Delaware S&RR,"270,390",,"$8,636,000.00","$7,538,000.00",89,"$2,182,000.00","$4,207,000.00",
691,VAFO,2011,Valley Forge NHP,"1,303,046","2,000","$49,497,000.00","$35,127,000.00",560,"$21,595,000.00","$34,786,000.00",
692,VAMA,2011,Vanderbilt Mansion NHS,"367,680",,"$5,761,000.00","$3,363,000.00",39,"$1,025,000.00","$2,023,000.00",
693,VICK,2011,Vicksburg NMP,"796,035",,"$42,141,000.00","$39,182,000.00",589,"$16,080,000.00","$27,139,000.00",
694,VIVE,2011,Vietnam Veterans MEM,"4,020,127",,"$137,566,000.00","$125,682,000.00","1,397","$57,307,000.00","$95,869,000.00",
695,VIIS,2011,Virgin Islands NP,"442,414","57,741","$58,649,000.00","$58,649,000.00","1,086","$21,565,000.00","$40,139,000.00",
696,VOYA,2011,Voyageurs NP,"177,184","65,465","$8,972,000.00","$8,593,000.00",137,"$2,993,000.00","$5,566,000.00",
697,WACA,2011,Walnut Canyon NM,"125,003",,"$6,618,000.00","$6,153,000.00",82,"$2,015,000.00","$3,721,000.00",
698,WAPA,2011,War in the Pacific NHP,"482,391",,"$17,876,000.00","$16,621,000.00",245,"$4,892,000.00","$9,380,000.00",
699,WAMO,2011,Washington Monument,"430,153",,"$14,720,000.00","$13,448,000.00",150,"$6,132,000.00","$10,258,000.00",
700,WABA,2011,Washita Battlefield NHS,"10,995",,"$456,000.00","$428,000.00",7,"$110,000.00","$222,000.00",
701,WEFA,2011,Weir Farm NHP,"22,415",,"$1,543,000.00","$1,434,000.00",16,"$692,000.00","$1,161,000.00",
702,WHIS,2011,Whiskeytown NRA,"761,710","43,713","$33,980,000.00","$29,683,000.00",386,"$8,906,000.00","$18,157,000.00",
703,WHHO,2011,White House,"570,057",,"$19,507,000.00","$17,822,000.00",198,"$8,126,000.00","$13,594,000.00",
704,WHSA,2011,White Sands NP,"428,924","2,185","$15,812,000.00","$15,500,000.00",230,"$5,053,000.00","$9,091,000.00",
705,WHMI,2011,Whitman Mission NHS,"57,611",,"$2,135,000.00","$1,985,000.00",28,"$601,000.00","$1,143,000.00",
706,WIHO,2011,William Howard Taft NHS,"21,141",,"$1,455,000.00","$1,353,000.00",22,"$646,000.00","$1,053,000.00",
707,WICR,2011,Wilson's Creek NB,"192,865",,"$10,210,000.00","$9,493,000.00",156,"$3,689,000.00","$6,705,000.00",
708,WICA,2011,Wind Cave NP,"538,394","3,054","$51,506,000.00","$51,381,000.00",890,"$19,661,000.00","$34,288,000.00",
709,WOTR,2011,Wolf Trap NP for the Performing Arts,"425,177",,"$29,261,000.00","$27,206,000.00",292,"$11,558,000.00","$19,222,000.00",
710,WORI,2011,Women's Rights NHP,"25,426",,"$740,000.00","$740,000.00",7,"$173,000.00","$334,000.00",
711,WWII,2011,World War II Memorial,"3,752,172",,"$128,397,000.00","$117,305,000.00","1,304","$53,487,000.00","$89,479,000.00",
712,,2011,World War II Valor in the Pacific NM,"1,694,896",,"$71,109,000.00","$63,623,000.00",735,"$24,117,000.00","$42,948,000.00",
713,WRST,2011,Wrangell-St. Elias NP & PRES,"65,225",,"$3,110,000.00","$3,110,000.00",44,"$1,174,000.00","$2,123,000.00",
714,WRBR,2011,Wright Brothers NMEM,"445,455",,"$16,507,000.00","$15,348,000.00",223,"$5,800,000.00","$10,491,000.00",
715,WUPA,2011,Wupatki NM,"216,165",,"$11,444,000.00","$10,640,000.00",141,"$3,484,000.00","$6,434,000.00",
716,YELL,2011,Yellowstone NP,"3,394,326","1,280,978","$332,975,000.00","$332,975,000.00","5,041","$133,534,000.00","$227,947,000.00",
717,YOSE,2011,Yosemite NP,"3,951,393","1,630,610","$379,116,000.00","$374,136,000.00","5,003","$128,202,000.00","$251,573,000.00",
718,YUCH,2011,Yukon-Charley Rivers NPRES,"1,718","6,774","$1,966,000.00","$1,966,000.00",21,"$670,000.00","$1,217,000.00",
719,ZION,2011,Zion NP,"2,825,505","312,608","$138,697,000.00","$137,403,000.00","2,286","$51,416,000.00","$98,433,000.00",
720,ABLI,2012,Abraham Lincoln Birthplace NHP,"169,515",,"$9,121,800.00",,137,"$3,942,900.00","$6,781,600.00","$11,529,900.00"
721,ACAD,2012,Acadia NP,"2,431,052",,"$200,920,000.00",,"3,089","$92,344,300.00","$152,518,700.00","$264,000,600.00"
722,ADAM,2012,Adams NHP,"336,031",,"$18,082,200.00",,244,"$9,443,300.00","$15,317,300.00","$23,901,900.00"
723,AFBG,2012,African Burial Ground NM,"77,624",,"$4,177,000.00",,48,"$2,268,100.00","$3,670,300.00","$5,365,300.00"
724,AGFO,2012,Agate Fossil Beds NM,"11,824",,"$798,900.00",,10,"$216,100.00","$405,000.00","$770,800.00"
725,ALFL,2012,Alibates Flint Quarries NM,"3,383",,"$182,000.00",,3,"$59,500.00","$117,600.00","$206,000.00"
726,ALPO,2012,Allegheny Portage Railroad NHS,"138,864",,"$7,472,400.00",,113,"$3,336,000.00","$5,511,000.00","$9,409,400.00"
727,AMIS,2012,Amistad NRA,"1,367,502",,"$54,971,700.00",,689,"$14,877,900.00","$29,549,700.00","$51,611,800.00"
728,ANDE,2012,Andersonville NHS,"122,883",,"$6,612,500.00",,99,"$2,250,300.00","$4,162,300.00","$7,471,500.00"
729,ANJO,2012,Andrew Johnson NHS,"51,261",,"$2,758,400.00",,40,"$1,121,200.00","$1,947,600.00","$3,319,300.00"
730,ANIA,2012,Aniakchak NM & PRES,19,,"$28,900.00",,,"$14,400.00","$24,300.00","$40,300.00"
731,ANTI,2012,Antietam NB,"510,921",,"$27,493,300.00",,361,"$14,004,100.00","$22,634,200.00","$35,085,000.00"
732,APIS,2012,Apostle Islands NL,"163,419",,"$24,030,600.00",,330,"$7,686,000.00","$14,999,500.00","$25,991,000.00"
733,APCO,2012,Appomattox Court House NHP,"320,668",,"$17,255,500.00",,249,"$6,396,000.00","$11,378,100.00","$19,666,400.00"
734,ARCH,2012,Arches NP,"1,070,577",,"$115,859,900.00",,"1,708","$44,827,100.00","$79,851,300.00","$138,019,200.00"
735,ARPO,2012,Arkansas Post NMEM,"39,703",,"$2,353,400.00",,31,"$976,400.00","$1,596,700.00","$2,700,300.00"
736,ARHO,2012,Arlington House The R.E. Lee MEM,"562,772",,"$30,283,400.00",,393,"$15,509,800.00","$25,057,600.00","$38,581,600.00"
737,ASIS,2012,Assateague Island NS,"2,154,859",,"$86,309,300.00",,"1,087","$29,752,700.00","$53,772,200.00","$89,381,000.00"
738,AZRU,2012,Aztec Ruins NM,"44,744",,"$2,407,700.00",,33,"$800,000.00","$1,394,800.00","$2,466,100.00"
739,BADL,2012,Badlands NP,"883,406",,"$52,145,400.00",,779,"$18,171,100.00","$32,877,000.00","$60,151,200.00"
740,BAND,2012,Bandelier NM,"150,289",,"$8,711,800.00",,125,"$3,642,600.00","$6,031,800.00","$10,428,000.00"
741,BEOL,2012,Bent's Old Fort NHS,"25,815",,"$1,389,100.00",,19,"$530,100.00","$921,900.00","$1,555,000.00"
742,BELA,2012,Bering Land Bridge NPRES,"2,642",,"$3,816,100.00",,53,"$1,906,400.00","$3,201,200.00","$5,313,800.00"
743,BIBE,2012,Big Bend NP,"292,055",,"$24,230,100.00",,322,"$7,045,500.00","$14,489,800.00","$25,089,900.00"
744,BICY,2012,Big Cypress NPRES,"882,570",,"$64,229,100.00",,853,"$33,714,400.00","$55,979,700.00","$88,182,400.00"
745,BIHO,2012,Big Hole NB,"35,207",,"$1,894,500.00",,28,"$681,600.00","$1,098,100.00","$2,027,100.00"
746,BISO,2012,Big South Fork NRRA,"600,161",,"$16,923,000.00",,213,"$5,640,000.00","$9,921,600.00","$16,773,500.00"
747,BITH,2012,Big Thicket NPRES,"135,262",,"$7,962,700.00",,99,"$3,506,800.00","$5,984,100.00","$9,558,200.00"
748,BICA,2012,Bighorn Canyon NRA,"245,831",,"$9,821,100.00",,140,"$3,626,700.00","$5,993,800.00","$10,738,000.00"
749,BISC,2012,Biscayne NP,"495,613",,"$29,193,600.00",,376,"$15,120,000.00","$24,668,000.00","$38,549,600.00"
750,BLCA,2012,Black Canyon of the Gunnison NP,"192,570",,"$11,027,600.00",,133,"$4,624,300.00","$7,447,900.00","$11,998,700.00"
751,BLRI,2012,Blue Ridge PKWY,"15,205,059",,"$902,472,100.00",,"12,168","$425,173,700.00","$724,544,100.00","$1,157,425,000.00"
752,BLUE,2012,Bluestone NSR,"36,842",,"$1,463,400.00",,19,"$514,600.00","$866,200.00","$1,485,800.00"
753,BOWA,2012,Booker T. Washington NM,"24,361",,"$1,310,900.00",,19,"$508,200.00","$880,600.00","$1,517,300.00"
754,BOST,2012,Boston NHP,"2,629,064",,"$141,473,100.00",,"1,916","$74,143,100.00","$120,015,900.00","$187,426,800.00"
755,BOAF,2012,Boston African American NHS,"404,248",,"$21,753,100.00",,295,"$11,391,300.00","$18,447,800.00","$28,818,000.00"
756,BRCA,2012,Bryce Canyon NP,"1,385,352",,"$108,946,200.00",,"1,501","$40,402,400.00","$72,634,800.00","$125,121,300.00"
757,BUIS,2012,Buck Island Reef NM,"30,436",,"$1,727,100.00",,20,"$777,600.00","$1,318,400.00","$2,028,700.00"
758,BUFF,2012,Buffalo NR,"1,093,083",,"$43,789,700.00",,610,"$15,325,200.00","$26,366,800.00","$46,933,100.00"
759,CABR,2012,Cabrillo NM,"877,951",,"$47,243,600.00",,597,"$22,379,000.00","$36,275,700.00","$56,547,200.00"
760,CANA,2012,Canaveral NS,"994,430",,"$58,891,600.00",,785,"$26,758,300.00","$46,216,400.00","$74,220,500.00"
761,CARI,2012,Cane River Creole NHP,"28,310",,"$1,523,400.00",,21,"$555,100.00","$1,010,900.00","$1,741,700.00"
762,CACH,2012,Canyon De Chelly NM,"828,523",,"$50,552,400.00",,667,"$15,857,600.00","$28,619,800.00","$51,794,600.00"
763,CANY,2012,Canyonlands NP,"452,952",,"$25,208,900.00",,338,"$9,027,600.00","$16,018,600.00","$27,739,800.00"
764,CACO,2012,Cape Cod NS,"4,441,290",,"$179,053,000.00",,"2,170","$88,236,200.00","$138,308,400.00","$212,833,200.00"
765,CAHA,2012,Cape Hatteras NS,"2,302,040",,"$135,055,500.00",,"1,884","$52,131,900.00","$90,726,300.00","$154,392,300.00"
766,CAKR,2012,Cape Krusenstern NM,"24,950",,"$36,037,800.00",,502,"$18,003,300.00","$30,231,000.00","$50,181,600.00"
767,CALO,2012,Cape Lookout NS,"480,294",,"$20,883,900.00",,297,"$6,695,600.00","$11,889,200.00","$21,367,400.00"
768,CARE,2012,Capitol Reef NP,"673,345",,"$44,636,700.00",,554,"$15,085,100.00","$26,928,000.00","$47,353,900.00"
769,CAVO,2012,Capulin Volcano NM,"48,710",,"$1,353,600.00",,19,"$351,100.00","$657,600.00","$1,210,700.00"
770,CARL,2012,Carl Sandburg Home NHS,"93,429",,"$5,027,500.00",,74,"$2,011,200.00","$3,452,900.00","$5,923,300.00"
771,CAVE,2012,Carlsbad Caverns NP,"381,058",,"$22,584,700.00",,296,"$7,256,000.00","$12,584,300.00","$22,714,900.00"
772,CAGR,2012,Casa Grande Ruins NM,"68,631",,"$3,693,100.00",,53,"$1,906,300.00","$3,099,500.00","$4,985,500.00"
773,CASA,2012,Castillo De San Marcos NM,"727,243",,"$39,133,800.00",,557,"$17,006,200.00","$29,910,900.00","$48,961,700.00"
774,CACL,2012,Castle Clinton NM,"3,264,439",,"$75,371,000.00",,802,"$35,064,500.00","$55,142,600.00","$80,629,100.00"
775,CATO,2012,Catoctin Mountain Park,"263,797",,"$15,092,800.00",,191,"$7,540,800.00","$12,269,600.00","$19,078,700.00"
776,CEBR,2012,Cedar Breaks NM,"631,809",,"$37,415,500.00",,499,"$13,189,100.00","$23,603,300.00","$40,989,600.00"
777,CHCU,2012,Chaco Culture NHP,"39,044",,"$2,255,300.00",,32,"$892,500.00","$1,508,400.00","$2,633,600.00"
778,CHAM,2012,Chamizal NMEM,"104,148",,"$5,604,300.00",,79,"$2,022,800.00","$3,754,800.00","$6,513,600.00"
779,CHIS,2012,Channel Islands NP,"249,594",,"$13,997,100.00",,178,"$7,325,100.00","$11,846,000.00","$18,712,500.00"
780,CHPI,2012,Charles Pinckney NHS,"44,314",,"$2,384,600.00",,34,"$1,016,500.00","$1,682,300.00","$2,798,600.00"
781,CHAT,2012,Chattahoochee River NRA,"3,168,137",,"$125,842,200.00",,"1,775","$62,089,000.00","$100,423,400.00","$163,725,000.00"
782,CHOH,2012,Chesapeake & Ohio Canal NHP,"4,712,377",,"$81,886,200.00",,"1,117","$41,793,400.00","$69,281,100.00","$108,949,300.00"
783,CHCH,2012,Chickamauga & Chattanooga NMP,"1,032,844",,"$61,166,500.00",,867,"$21,428,200.00","$39,092,900.00","$69,309,500.00"
784,CHIC,2012,Chickasaw NRA,"1,487,039",,"$22,135,600.00",,213,"$5,096,400.00","$8,614,600.00","$15,030,300.00"
785,CHIR,2012,Chiricahua NM,"41,159",,"$2,322,000.00",,29,"$695,900.00","$1,281,800.00","$2,263,700.00"
786,CHRI,2012,Christiansted NHS,"126,962",,"$6,832,000.00",,82,"$3,189,000.00","$5,307,000.00","$8,199,600.00"
787,CIRO,2012,City Of Rocks NRES,"98,996",,"$5,327,100.00",,74,"$1,936,300.00","$3,242,200.00","$5,679,600.00"
788,CLBA,2012,Clara Barton NHS,"25,347",,"$1,364,000.00",,18,"$698,200.00","$1,128,200.00","$1,738,800.00"
789,COLO,2012,Colonial NHP,"3,274,187",,"$176,187,900.00",,"2,539","$74,263,300.00","$127,177,500.00","$213,797,700.00"
790,COLM,2012,Colorado NM,"454,510",,"$26,577,400.00",,356,"$9,626,700.00","$17,086,400.00","$29,307,600.00"
791,CONG,2012,Congaree NP,"109,685",,"$5,144,000.00",,66,"$1,875,700.00","$3,235,600.00","$5,556,700.00"
792,CORO,2012,Coronado NMEM,"97,579",,"$5,250,800.00",,72,"$2,093,200.00","$3,529,400.00","$5,910,400.00"
793,COWP,2012,Cowpens NB,"231,973",,"$13,750,400.00",,201,"$6,323,600.00","$10,595,800.00","$17,889,200.00"
794,CRLA,2012,Crater Lake NP,"447,251",,"$36,097,000.00",,551,"$15,597,400.00","$25,714,400.00","$45,060,000.00"
795,CRMO,2012,Craters of the Moon NM & PRES,"197,529",,"$6,334,600.00",,91,"$2,021,000.00","$3,512,600.00","$6,615,100.00"
796,CUGA,2012,Cumberland Gap NHP,"853,998",,"$50,370,300.00",,702,"$19,481,000.00","$34,973,500.00","$59,905,500.00"
797,CUIS,2012,Cumberland Island NS,"61,493",,"$2,390,000.00",,32,"$1,009,300.00","$1,688,000.00","$2,761,800.00"
798,CURE,2012,Curecanti NRA,"862,612",,"$34,458,300.00",,414,"$13,338,200.00","$21,560,800.00","$35,130,600.00"
799,CUVA,2012,Cuyahoga Valley NP,"2,299,722",,"$136,751,800.00",,"2,054","$59,054,400.00","$101,681,800.00","$175,232,800.00"
800,DAAV,2012,Dayton Aviation Heritage NHP,"65,999",,"$3,581,800.00",,60,"$1,827,300.00","$3,055,200.00","$5,210,200.00"
801,DESO,2012,De Soto NMEM,"432,981",,"$23,299,200.00",,332,"$11,342,400.00","$19,330,300.00","$31,123,900.00"
802,DEVA,2012,Death Valley NP,"984,568",,"$77,966,600.00",,929,"$35,665,600.00","$59,370,800.00","$91,346,000.00"
803,DEWA,2012,Delaware Water Gap NRA,"4,970,802",,"$156,372,200.00",,"2,319","$98,007,600.00","$149,653,100.00","$216,180,100.00"
804,DENA,2012,Denali NP & PRES,"388,433",,"$371,501,100.00",,"5,098","$185,911,300.00","$313,678,500.00","$520,780,600.00"
805,DEPO,2012,Devils Postpile NM,"87,845",,"$5,127,900.00",,65,"$1,910,700.00","$3,442,800.00","$5,754,400.00"
806,DETO,2012,Devils Tower NM,"416,994",,"$24,517,800.00",,352,"$8,581,000.00","$15,349,700.00","$27,700,000.00"
807,DINO,2012,Dinosaur NM,"302,858",,"$16,936,900.00",,201,"$6,142,500.00","$10,240,800.00","$17,109,200.00"
808,DRTO,2012,Dry Tortugas NP,"60,550",,"$3,210,600.00",,33,"$1,241,300.00","$2,067,600.00","$3,221,100.00"
809,EDAL,2012,Edgar Allan Poe NHS,"19,104",,"$1,028,000.00",,14,"$554,600.00","$879,400.00","$1,405,500.00"
810,EFMO,2012,Effigy Mounds NM,"78,540",,"$4,603,600.00",,68,"$1,655,200.00","$2,866,000.00","$5,131,200.00"
811,EISE,2012,Eisenhower NHS,"53,286",,"$2,867,400.00",,38,"$1,457,600.00","$2,344,000.00","$3,644,300.00"
812,ELMA,2012,El Malpais NM,"114,678",,"$6,797,400.00",,98,"$2,727,900.00","$4,641,400.00","$8,132,200.00"
813,ELMO,2012,El Morro NM,"44,808",,"$2,609,300.00",,36,"$647,100.00","$1,295,700.00","$2,465,300.00"
814,ELRO,2012,Eleanor Roosevelt NHS,"55,049",,"$2,962,300.00",,36,"$1,409,000.00","$2,404,600.00","$3,606,700.00"
815,EUON,2012,Eugene O'Neill NHS,"2,789",,"$150,100.00",,2,"$80,000.00","$125,000.00","$194,900.00"
816,EVER,2012,Everglades NP,"1,141,906",,"$102,764,600.00",,"1,402","$56,736,800.00","$94,038,600.00","$147,065,100.00"
817,FEHA,2012,Federal Hall NMEM,"167,146",,"$8,994,300.00",,103,"$4,897,300.00","$7,900,400.00","$11,537,400.00"
818,FIIS,2012,Fire Island NS,"483,334",,"$19,258,500.00",,206,"$9,805,500.00","$15,702,400.00","$22,852,300.00"
819,FILA,2012,First Ladies NHS,"9,903",,"$532,900.00",,8,"$251,200.00","$416,000.00","$705,100.00"
820,FLNI,2012,Flight 93 NMEM,"317,926",,"$17,108,000.00",,258,"$7,631,300.00","$12,646,000.00","$21,557,000.00"
821,FLFO,2012,Florissant Fossil Beds NM,"62,637",,"$3,370,600.00",,47,"$1,781,200.00","$2,809,000.00","$4,493,500.00"
822,FOTH,2012,Ford's Theatre NHS,"701,542",,"$12,209,000.00",,161,"$6,424,600.00","$10,535,900.00","$16,244,200.00"
823,FOBO,2012,Fort Bowie NHS,"7,966",,"$428,700.00",,6,"$168,600.00","$284,000.00","$476,400.00"
824,FOCA,2012,Fort Caroline NMEM,"327,339",,"$17,614,500.00",,252,"$8,032,700.00","$13,818,700.00","$22,559,200.00"
825,FODA,2012,Fort Davis NHS,"38,136",,"$2,052,100.00",,27,"$562,000.00","$1,149,700.00","$2,013,000.00"
826,FODO,2012,Fort Donelson NB,"284,762",,"$16,878,100.00",,226,"$7,587,500.00","$12,572,900.00","$20,522,800.00"
827,FOFR,2012,Fort Frederica NM,"262,235",,"$14,111,200.00",,196,"$6,238,100.00","$10,501,000.00","$17,209,500.00"
828,FOLA,2012,Fort Laramie NHS,"55,199",,"$2,970,300.00",,40,"$1,001,100.00","$1,803,600.00","$3,173,000.00"
829,FOLS,2012,Fort Larned NHS,"33,194",,"$1,852,800.00",,24,"$538,600.00","$1,032,400.00","$1,916,000.00"
830,FOMA,2012,Fort Matanzas NM,"497,574",,"$26,775,100.00",,378,"$11,612,100.00","$20,389,200.00","$33,214,100.00"
831,FOMC,2012,Fort McHenry NM & HS,"744,076",,"$40,039,600.00",,526,"$20,475,900.00","$33,345,800.00","$51,649,700.00"
832,FONE,2012,Fort Necessity NB,"187,893",,"$11,126,400.00",,162,"$5,047,200.00","$8,402,500.00","$14,244,600.00"
833,FOPO,2012,Fort Point NHS,"1,502,786",,"$80,866,700.00",,999,"$43,119,000.00","$67,373,600.00","$105,104,100.00"
834,FOPU,2012,Fort Pulaski NM,"385,751",,"$22,865,500.00",,307,"$9,303,500.00","$15,748,900.00","$26,189,700.00"
835,FORA,2012,Fort Raleigh NHS,"281,833",,"$15,165,800.00",,221,"$5,976,000.00","$10,288,900.00","$17,524,800.00"
836,FOSC,2012,Fort Scott NHS,"25,034",,"$414,500.00",,5,"$107,500.00","$189,600.00","$349,500.00"
837,FOSM,2012,Fort Smith NHS,"87,386",,"$4,702,300.00",,70,"$1,671,200.00","$2,962,900.00","$5,357,200.00"
838,FOST,2012,Fort Stanwix NM,"195,057",,"$9,841,400.00",,117,"$3,189,100.00","$7,058,300.00","$11,200,700.00"
839,FOSU,2012,Fort Sumter and Fort Moultrie NHP,"842,027",,"$45,310,300.00",,650,"$19,283,400.00","$31,980,200.00","$53,245,900.00"
840,FOUN,2012,Fort Union NM,"9,215",,"$572,700.00",,7,"$213,900.00","$342,900.00","$583,900.00"
841,FOUS,2012,Fort Union Trading Post NHS,"12,677",,"$937,100.00",,10,"$279,400.00","$451,600.00","$772,400.00"
842,FOVA,2012,Fort Vancouver NHS,"681,404",,"$36,667,200.00",,559,"$17,831,300.00","$28,965,700.00","$49,366,500.00"
843,FOWA,2012,Fort Washington Park,"368,824",,"$19,846,900.00",,254,"$10,183,800.00","$16,417,800.00","$25,151,500.00"
844,FOBU,2012,Fossil Butte NM,"17,084",,"$786,900.00",,9,"$258,600.00","$436,400.00","$740,500.00"
845,FRDE,2012,Franklin Delano Roosevelt MEM,"2,764,459",,"$48,110,300.00",,636,"$25,316,500.00","$41,517,400.00","$64,011,200.00"
846,FRDO,2012,Frederick Douglass NHS,"53,314",,"$927,800.00",,12,"$489,000.00","$801,000.00","$1,233,100.00"
847,FRLA,2012,Frederick Law Olmsted NHS,"8,668",,"$466,400.00",,6,"$243,400.00","$395,500.00","$617,900.00"
848,FRSP,2012,Fredericksburg & Spotsylvania NMP,"982,324",,"$52,860,000.00",,673,"$26,489,800.00","$42,462,000.00","$65,469,700.00"
849,FRHI,2012,Friendship Hill NHS,"34,289",,"$1,845,100.00",,28,"$844,100.00","$1,390,300.00","$2,348,700.00"
850,GAAR,2012,Gates Of The Arctic NP & PRES,"10,899",,"$15,742,500.00",,219,"$7,864,400.00","$13,205,900.00","$21,921,000.00"
851,GATE,2012,Gateway NRA,"5,043,863",,"$116,410,100.00",,"1,261","$54,718,500.00","$85,632,900.00","$126,142,700.00"
852,GARI,2012,Gauley River NRA,"115,283",,"$4,613,800.00",,61,"$1,658,500.00","$2,725,600.00","$4,691,500.00"
